Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
PaTu 8988t,-26617.445418174604,-4423.719875894323,699.298271535516,2863.262178346835,-4865.972518133813,-1437.1436886484753,-1384.0079499366227,-111.75904521562042,-647.8680239926116,436.39113927630586,Other
NCI-H3122,9386.748777716852,-7664.370824144917,-642.2799743021004,782.9601514739312,-1554.445747338984,-1366.5631614160443,4317.692111730407,4294.776390893842,1077.6823450315244,-5103.624473766334,Other
NCI-H292,75868.16104653949,24516.080363418798,1986.2720171884866,-411.79456773002914,1125.7188761774512,-455.4133538043113,14003.45230760604,3918.898059631255,1333.4034854579997,-2857.9135439152337,Other
NCI-H2887,8115.192612846519,-12726.641233110557,-5190.4433940509725,-3154.469346405263,4164.251493570436,-388.4004700958339,2255.8779227892746,1418.9282465880035,881.8498979808152,-4313.789432689882,Other
MUTZ-5,-24548.065757289354,14642.637528183017,9462.61470988795,9377.16842926682,-14587.42953650676,-3518.57748759954,3567.6061463928763,-3777.1948560154196,419.87721918266953,-624.5593253180195,Other
MV4-11,-192.7454109434084,125.1984308544025,5293.651033419814,5920.820640029308,-9631.44409563578,-3542.212808725922,3805.996511710878,-4817.550602884745,-508.58643912805474,1056.3477891724433,Other
Malme-3M,29723.17096206994,283.6576176208822,-4043.521129675054,-3849.303100763032,5798.770258171559,500.70478173188525,8257.419158122706,125.27134521139472,-78.53542759423829,4278.099759289495,Other
MeWo,-6822.60235001449,-2824.7845346826475,-2773.561268822947,-1085.5229418218141,1373.064821909704,88.51710436665084,161.88138513192737,2187.4159115634257,-210.80428847353755,-582.2566967501717,Other
Mel Ho,17002.814383364417,-3841.2431155969175,-2967.991051846608,-2383.3632901430956,3164.5864763272702,1129.3803241375947,7698.762548178166,6068.3953397325795,122.66250389630274,3260.367351470097,Other
Mel JuSo,-9507.324427579,-10566.482577003058,-5034.783992093602,-2750.0136727858153,3358.5061194805417,55.04341542588558,1124.2693353889654,3565.288262252308,782.3896296931757,-1321.1733068462597,Other
Mino,-4016.105251686561,-2072.214886870334,2697.0183391870664,2890.83389401321,-5012.272470568413,4155.0993183475475,-1574.382584818734,-4335.210732516256,-835.3703600546115,4996.913380135047,Other
